OUT ID	ITS_AP1	ITS_AP2	ITS_AP3	ITS_AP4	ITS_AP5	ITS_AP6	ITS_AR1	ITS_AR2	ITS_AR3	ITS_AR4	ITS_AR5	ITS_AR6	ITS_AS1	ITS_AS2	ITS_AS3	ITS_AS4	ITS_AS5	ITS_AS6	ITS_BP1	ITS_BP2	ITS_BP3	ITS_BP4	ITS_BP5	ITS_BP6	ITS_BR1	ITS_BR2	ITS_BR3	ITS_BR4	ITS_BR5	ITS_BR6	ITS_BS1	ITS_BS2	ITS_BS3	ITS_BS4	ITS_BS5	ITS_BS6	ITS_BSB1	ITS_BSB10	ITS_BSB2	ITS_BSB3	ITS_BSB4	ITS_BSB5	ITS_BSB6	ITS_BSB7	ITS_BSB8	ITS_BSB9	ITS_BSEB1	ITS_BSEB10	ITS_BSEB2	ITS_BSEB3	ITS_BSEB4	ITS_BSEB5	ITS_BSEB6	ITS_BSEB7	ITS_BSEB8	ITS_BSEB9	ITS_BSPB1	ITS_BSPB10	ITS_BSPB2	ITS_BSPB3	ITS_BSPB4	ITS_BSPB5	ITS_BSPB6	ITS_BSPB7	ITS_BSPB8	ITS_BSPB9	ITS_CEP1	ITS_CEP2	ITS_CEP3	ITS_CEP4	ITS_CEP5	ITS_CEP6	ITS_CER1	ITS_CER2	ITS_CER3	ITS_CER4	ITS_CER5	ITS_CER6	ITS_CES1	ITS_CES2	ITS_CES3	ITS_CES4	ITS_CES5	ITS_CES6	ITS_CP1	ITS_CP2	ITS_CP3	ITS_CP4	ITS_CP5	ITS_CP6	ITS_CPP1	ITS_CPP2	ITS_CPP3	ITS_CPP4	ITS_CPP5	ITS_CPP6	ITS_CPR1	ITS_CPR2	ITS_CPR3	ITS_CPR4	ITS_CPR5	ITS_CPR6	ITS_CPS1	ITS_CPS2	ITS_CPS3	ITS_CPS4	ITS_CPS5	ITS_CPS6	ITS_CR1	ITS_CR2	ITS_CR3	ITS_CR4	ITS_CR5	ITS_CR6	ITS_CS1	ITS_CS2	ITS_CS3	ITS_CS4	ITS_CS5	ITS_CS6	ITS_DP1	ITS_DP2	ITS_DP3	ITS_DP4	ITS_DP5	ITS_DP6	ITS_DR1	ITS_DR2	ITS_DR3	ITS_DR4	ITS_DR5	ITS_DR6	ITS_DS1	ITS_DS2	ITS_DS3	ITS_DS4	ITS_DS5	ITS_DS6	ITS_EP1	ITS_EP2	ITS_EP3	ITS_EP4	ITS_EP5	ITS_EP6	ITS_ER1	ITS_ER2	ITS_ER3	ITS_ER4	ITS_ER5	ITS_ER6	ITS_ES1	ITS_ES2	ITS_ES3	ITS_ES4	ITS_ES5	ITS_ES6	ITS_FP1	ITS_FP2	ITS_FP3	ITS_FP4	ITS_FP5	ITS_FP6	ITS_FR1	ITS_FR2	ITS_FR3	ITS_FR4	ITS_FR5	ITS_FR6	ITS_FS1	ITS_FS2	ITS_FS3	ITS_FS4	ITS_FS5	ITS_FS6	ITS_GP1	ITS_GP2	ITS_GP3	ITS_GP4	ITS_GP5	ITS_GP6	ITS_GR1	ITS_GR2	ITS_GR3	ITS_GR4	ITS_GR5	ITS_GR6	ITS_GS1	ITS_GS2	ITS_GS3	ITS_GS4	ITS_GS5	ITS_GS6	ITS_HP1	ITS_HP2	ITS_HP3	ITS_HP4	ITS_HP5	ITS_HP6	ITS_HR1	ITS_HR2	ITS_HR3	ITS_HR4	ITS_HR5	ITS_HR6	ITS_HS1	ITS_HS2	ITS_HS3	ITS_HS4	ITS_HS5	ITS_HS6	ITS_IEP1	ITS_IEP3	ITS_IEP4	ITS_IEP5	ITS_IEP6	ITS_IER1	ITS_IER3	ITS_IER4	ITS_IER5	ITS_IER6	ITS_IES1	ITS_IES3	ITS_IES4	ITS_IES5	ITS_IES6	ITS_IPP1	ITS_IPP2	ITS_IPP3	ITS_IPP4	ITS_IPP5	ITS_IPP6	ITS_IPR1	ITS_IPR2	ITS_IPR3	ITS_IPR4	ITS_IPR5	ITS_IPR6	ITS_IPS1	ITS_IPS2	ITS_IPS3	ITS_IPS4	ITS_IPS5	ITS_IPS6	negativecontrol	negControl	ITS_SEP1	ITS_SEP2	ITS_SEP3	ITS_SEP4	ITS_SEP5	ITS_SEP6	ITS_SER1	ITS_SER2	ITS_SER3	ITS_SER4	ITS_SER5	ITS_SER6	ITS_SES1	ITS_SES2	ITS_SES3	ITS_SES4	ITS_SES5	ITS_SES6	ITS_SPP1	ITS_SPP2	ITS_SPP3	ITS_SPP4	ITS_SPP5	ITS_SPP6	ITS_SPR1	ITS_SPR2	ITS_SPR3	ITS_SPR4	ITS_SPR5	ITS_SPR6	ITS_SPS1	ITS_SPS2	ITS_SPS3	ITS_SPS4	ITS_SPS5	ITS_SPS6	taxonomy	Taxon	Taxon Level	Trophic Mode	Guild	Growth Morphology	Trait	Confidence Ranking	Notes	Citation/Source
6cf4c6bf55f8ee7b5fbc9a8b8b64a1c0	2096	8495	3108	2290	4028	9555	208	220	1099	445	212	668	208	282	319	453	177	275	5474	97280	42803	772	5224	11054	664	4324	2492	214	829	1160	587	696	890	554	346	682	1303	218	3282	1487	518	1752	841	759	403	1683	0	0	0	40	0	0	0	0	0	0	63	12	0	0	0	0	0	0	0	0	155	379	28849	130	134	1495	208	114	73	110	231	80	298	198	98	768	173	227	5991	5433	2190	1210	2626	93963	6014	95	32	159	131	65	339	106	30	120	0	0	0	0	0	0	0	0	759	17147	6973	4988	852	2739	826	698	1003	711	548	667	3206	16733	1509	1143	16335	79680	662	399	4273	154	599	1022	651	633	1023	657	487	630	1016	25972	631	10138	896	723	273	623	240	80	188	214	223	286	292	212	117	229	1391	3503	14617	12726	51691	1358	298	165	640	68	334	563	329	429	486	319	252	344	27852	144937	3116	5650	15672	7590	788	400	608	157	501	655	685	852	1142	664	437	861	536	75685	1663	420	1642	671	338	197	280	85	2448	330	327	372	497	274	170	378	170	19152	510	6487	242	218	1490	65	176	153	345	75	76	106	370	1153	18047	215	221	26	61	647	789	22	32	56	131	95	113	121	65	62	85	0	0	45677	1147	360	4093	884	1103	106	116	473	433	288	421	154	174	258	715	186	85	390	37610	376	387	259	26159	392	1226	699	326	346	419	234	208	174	176	422	150	0.9%| k__Fungi; p__Ascomycota; p__Eurotiomycetes; p__Eurotiales; p__Aspergillaceae; p__Penicillium; p__Unidentified_Penicillium	Penicillium	13	Pathotroph-Saprotroph-Symbiotroph	Animal Parasite-Dung Saprotroph-Endophyte-Fungal Parasite-Plant Pathogen-|Undefined Saprotroph|-Wood Saprotroph	Microfungus	Soft Rot	Highly Probable	As foliar_endophyte (Põlme et al. 2020); As mycoparasite (Põlme et al. 2020); Decay soil (Põlme et al. 2020)	b'Duncan CG, Eslyn WE. 1966. Mycologia 58:642-664 ((https://doi.org/10.2307/3757045)); Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany ((https://www.irg-wp.com/irgdocs/details.php?d6493033-c9ea-40f3-8e3e-5697f32d640d)); Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Bills GF, et al. 2013. Current Opinion in Microbiology 16:549-565 ((https://doi.org/10.1016/j.mib.2013.08.001)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); P\xc3\xb5lme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))'
a09cb0199af4901c13dff9480341221f	6	93	34	648	36	11	0	0	48	16	0	38	4	9	6	6	5	4	7	108	229	17	0	0	0	8	298	21	12	15	0	4	8	8	0	6	25	0	11	24	6	27	7	9	7	20	32	4	34	36	0	0	0	11	8	0	15	10	0	106	0	0	0	0	0	0	25046	17972	23462	857	1250	21273	332	217	139	173	366	174	1482	593	196	1362	387	659	7	20	20	399	6	5	6321	1308	284	2275	8643	93	559	228	79	128	0	32	0	22	0	0	0	43	0	15	171	14	0	77	9	0	5	0	3	3	0	23	41	0	363	53	0	5	12	0	27	6	0	0	0	0	0	0	0	215	25	26	12	7	0	22	0	0	12	16	0	0	0	0	0	5	15	8	104	275	5	6	7	0	0	0	0	13	0	3	8	0	0	0	39	18	22	12	43	71	0	0	0	6	3	3	0	0	0	0	0	0	11	289	7	6	11	155	8	8	0	0	4	28	7	0	10	0	5	5	18	46	347	1888	1590	13	724	166	335	232	501	150	141	202	812	123960	32930	508	32240	722	2019	216	483	82	46	113	413	370	341	320	121	152	374	0	0	75	26	3742	84	68	371	0	0	129	141	101	82	19	25	75	31	27	6	967	20822	2182	1763	429	27274	1521	2133	1442	589	622	1562	635	526	268	470	825	348	1%| k__Fungi; p__Mucoromycota; p__Endogonomycetes; p__Endogonales; p__Endogonales_fam_Incertae_sedis; p__Densospora; p__Unidentified_Densospora	Densospora	13	Saprotroph-Symbiotroph	|Ectomycorrhizal|-Endophyte-Undefined Saprotroph	Microfungus	NULL	Possible	As root_endophyte (Põlme et al. 2020); As soil_saprotroph (Põlme et al. 2020)	b'Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)) (as not ECM); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)) (as ECM); P\xc3\xb5lme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))'
7fbb93d82e4abea98be2b43aa3e311fd	218	205	168	27	143	32	88	37	50	19	44	342	92	173	187	82	99	84	6152	0	401	21	4921	44	65	0	146	8	36	80	76	105	126	96	67	101	300	74	106	40	89	186	40	137	99	182	95	75	141	149	82	215	99	72	238	26	14	13	46	128	675	11	0	0	2	0	2157	5261	57935	8746	95818	10670	545	569	330	707	987	875	2220	957	708	432	214	292	663	167	527	100	174	10	701	492	1248	4281	5446	11595	463	126	208	136	66	20	18	21	0	10	0	20	18	35	1276	30	41	558	38	87	30	21	34	47	92	191	638	20	1942	24	54	18	52	4	28	39	112	84	434	817	53	71	157	17487	58	21	149	51	79	52	112	15	50	93	137	136	210	120	72	169	257	52	0	91	159	15	19	0	40	11	29	0	27	43	28	25	33	45	80	100	0	35	43	1211	84	14	27	9	0	90	33	29	122	46	0	0	198	25	60	9	53	12	52	212	61	12	48	76	51	36	62	91	11	28	0	215	6380	1481	390	64	1158	620	858	1036	1066	367	384	934	1186	52810	351	1316	626	248	2298	4755	194	58	67	157	276	195	241	356	186	407	187	79	0	432	1362	2386	271	174	135	24	76	104	174	124	207	106	251	135	70	108	45	455	1858	215	808	1409	431	380	529	757	368	860	393	141	247	128	256	331	386	0.7%| k__Fungi; p__Ascomycota; p__Unidentified_Ascomycota; p__Unidentified_Ascomycota; p__Unidentified_Ascomycota; p__Unidentified_Ascomycota; p__Unidentified_Ascomycota	-	-	-	-	-	-	-	Unassigned	-
8823fedcbc1a28262ea1050caeb6484e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	517	306	644	717	305	441	459	305	272	198	9362	5445	7417	11198	2219	6088	9646	4209	4426	3833	81	117	138	342	63	82	79	84	16	89	144	126	102	31	69	1277	697	771	0	0	0	0	0	0	327	190	125	691	522	1187	3357	1978	3847	3571	1793	1022	6410	7189	3378	5677	6485	10572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	35	32	10	16	118	69	76	132	150	32	53	81	99	1444	863	1117	464	308	958	1949	6260	1068	2084	3596	3953	5950	2489	10817	4631	4101	3981	0	0	46	42	21	94	106	174	12	17	36	0	30	33	18	18	12	19	0	9	1165	1162	829	625	958	1401	4342	14126	7469	5103	5780	5946	11939	9320	2433	10888	11810	11005	0.9%| k__Fungi; p__Ascomycota; p__Leotiomycetes; p__Helotiales; p__Helotiaceae; p__Meliniomyces; p__Unidentified_Meliniomyces	Meliniomyces	13	Saprotroph-Symbiotroph	Ectomycorrhizal-|Endophyte|-Ericoid Mycorrhizal-Orchid Mycorrhizal-Plant Saprotroph-Undefined Saprotroph	Microfungus	NULL	Probable	As root_endophyte (Põlme et al. 2020); As soil_saprotroph (Põlme et al. 2020); Dark Septate Endophyte; Decay soil (Põlme et al. 2020)	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); P\xc3\xb5lme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))'
6ce7604e712f963bbd0ae0f6b7a3cf5e	81	191	62	13	6554	20	17	0	19	6	14	46	43	42	54	49	32	38	35	5417	38	10	54	24	29	33	46	0	253	18	39	43	58	141	30	39	97	11	42	18	113	34	15	19	0	49	157	0	0	16	0	0	17	0	0	25	0	0	5	0	0	0	0	0	0	0	190009	984	919	1030	617	700	378	430	650	442	508	350	1227	565	440	0	0	0	7	42	7	155	18	0	91	153	17460	115	155	177	327	149	101	0	0	0	0	0	93	0	4	0	0	0	0	0	8	13	29	0	4	0	0	0	10	115	22	0	26	7	14	0	35	0	0	0	0	0	24	9	0	15	16	69	0	0	18	0	0	0	0	0	8	0	72	11	17	0	36	0	7	23	6	0	11	11	0	0	8	0	0	0	0	0	0	0	0	0	0	24	0	0	18	0	0	0	0	0	0	0	0	14	0	0	0	0	5	13	12	4	7	14	0	19	0	0	36	0	0	0	11	7	0	10	0	341	0	265	33	0	1084	367	470	662	687	286	185	661	988	0	0	0	220	126	162	159	164	0	43	169	194	836	222	205	175	153	192	0	0	0	9	0	0	0	0	0	0	16	184	0	0	0	0	24	0	0	37	0	0	61	0	0	0	517	0	0	18	21	0	0	0	56	0	0	0	0.727%| k__Fungi; p__Ascomycota; p__Dothideomycetes; p__Pleosporales; p__Pleosporaceae; p__Alternaria; p__Unidentified_Alternaria	Alternaria	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-|Plant Pathogen|-Plant Saprotroph-Wood Saprotroph	Microfungus	Soft Rot	Possible	As foliar_endophyte (Põlme et al. 2020); As litter_saprotroph (Põlme et al. 2020); Decay leaf, fruit, seed (Põlme et al. 2020)	b'Duncan CG, Eslyn WE. 1966. Mycologia 58:642-664 ((https://doi.org/10.2307/3757045)); Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany ((https://www.irg-wp.com/irgdocs/details.php?d6493033-c9ea-40f3-8e3e-5697f32d640d)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); P\xc3\xb5lme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))'
5594e20da8256b5e1eb31895a54914b8	28	0	0	245	0	40	6	0	104	16	0	325	0	7	5	9	4	5	1463	103	5	150	15	9	10	35	37	40	13	96	9	13	6	9	0	7	9	0	4	0	10	6	3	0	0	12	30	0	54	9	0	0	61	22	10	0	24	0	0	29	22	0	0	0	0	0	14763	50417	6810	1495	3598	48872	582	342	243	350	682	232	1324	619	411	94	57	81	29	20	24	976	15	9	11148	1234	2526	1356	16077	203	769	317	299	253	64	0	0	13	0	0	0	0	22	6	1157	49	5	46	10	14	12	4	8	9	23	0	3	7	0	19	0	0	27	4	0	0	0	0	0	0	0	0	11	438	6	27	0	0	18	83	16	5	17	0	4	0	0	4	0	0	125	0	40	94	0	0	5	0	11	0	3	13	4	5	0	0	2	0	67	6	7	6	0	271	0	0	6	0	0	12	0	5	0	0	0	7	23	72	0	18	20	50	16	0	16	0	49	28	14	7	0	8	2	0	76	236	1104	8625	8694	92	602	305	358	345	499	214	98	241	918	352	364	3277	1329	3799	247	198	278	72	77	151	369	467	713	373	161	204	514	0	0	147	221	123	122	2885	31	40	79	189	210	388	228	100	110	377	124	73	45	340	2073	600	247	861	1394	392	681	180	83	256	518	194	57	42	62	237	33	1%| k__Fungi; p__Mucoromycota; p__Endogonomycetes; p__Endogonales; p__Endogonales_fam_Incertae_sedis; p__Densospora; p__Unidentified_Densospora	Densospora	13	Saprotroph-Symbiotroph	|Ectomycorrhizal|-Endophyte-Undefined Saprotroph	Microfungus	NULL	Possible	As root_endophyte (Põlme et al. 2020); As soil_saprotroph (Põlme et al. 2020)	b'Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)) (as not ECM); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)) (as ECM); P\xc3\xb5lme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))'
8c0e5aa27a1c0aa09597b2bf9b0aab80	0	252	0	0	87	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	82	240	15404	90	0	743	0	0	0	0	137	44	140	164	0	532	118	152	0	75	0	0	0	664	4432	0	0	0	52	63	197	0	0	0	0	0	0	0	0	0	0	0	0	266	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	321	292	1212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	7001	218	2450	108	82	670	43	74	103	268	39	0	71	243	742	11190	118	157	0	0	212	271	0	0	0	96	0	0	91	0	0	0	0	0	25190	738	169	2469	489	614	0	78	247	169	143	198	80	83	113	396	0	0	270	23771	255	214	160	15298	248	633	453	159	204	246	189	159	0	116	254	105	0.9%| k__Fungi; p__Ascomycota; p__Eurotiomycetes; p__Eurotiales; p__Aspergillaceae; p__Penicillium; p__Unidentified_Penicillium	Penicillium	13	Pathotroph-Saprotroph-Symbiotroph	Animal Parasite-Dung Saprotroph-Endophyte-Fungal Parasite-Plant Pathogen-|Undefined Saprotroph|-Wood Saprotroph	Microfungus	Soft Rot	Highly Probable	As foliar_endophyte (Põlme et al. 2020); As mycoparasite (Põlme et al. 2020); Decay soil (Põlme et al. 2020)	b'Duncan CG, Eslyn WE. 1966. Mycologia 58:642-664 ((https://doi.org/10.2307/3757045)); Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany ((https://www.irg-wp.com/irgdocs/details.php?d6493033-c9ea-40f3-8e3e-5697f32d640d)); Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Bills GF, et al. 2013. Current Opinion in Microbiology 16:549-565 ((https://doi.org/10.1016/j.mib.2013.08.001)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); P\xc3\xb5lme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))'
81bc70581d5d06c96d970e14df28f588	0	0	0	0	0	0	0	0	15	0	6	0	0	25	18	23	25	0	0	0	0	0	0	0	0	0	14	0	0	0	0	19	0	16	0	11	22	14	0	40	0	0	0	0	13	57	71	0	86	93	64	0	83	77	67	0	440	516	698	1069	230	753	745	248	427	349	40	63	59	167	69	75	0	0	0	0	38	0	51	0	37	579	220	258	0	0	0	0	0	0	213	119	94	1697	1397	313	1090	886	1692	2077	931	451	399	914	314	670	805	1594	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	12	0	0	17	0	18	11	0	0	0	0	0	0	0	0	11	0	8	0	0	13	0	17	0	7	0	0	0	0	0	0	0	0	0	0	0	4	0	33	18	13	13	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	44	7	0	0	0	0	0	0	45	83	36	0	105	0	656	557	708	641	270	482	808	5188	299	394	972	1614	649	430	1258	709	481	942	0	0	0	21	0	0	0	94	0	0	0	0	0	25	0	0	0	0	0	0	527	797	4390	748	11959	1481	5235	6289	5777	4094	5423	7867	1528	1364	511	1554	1797	1183	0.909%| k__Fungi; p__Ascomycota; p__Leotiomycetes; p__Thelebolales; p__Pseudeurotiaceae; p__Unidentified_Pseudeurotiaceae; p__Unidentified_Pseudeurotiaceae	Pseudeurotiaceae	9	Saprotroph	Plant Saprotroph-Wood Saprotroph	Microfungus	NULL	Probable	Saprobic on woody tissue and rotting vegetation, often isolated from soil (Cannon & Kirk 2007)	b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)'
4507cedb32a44bbe23f44482645ab054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	65	131	145	106	89	117	83	62	0	843	570	839	1479	254	866	824	404	637	427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	511	254	258	0	0	0	0	0	0	156	91	39	462	403	184	2836	1724	2819	2660	815	231	832	1666	541	900	1186	1829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	41	612	378	426	240	161	375	703	703	189	372	871	872	1573	775	2119	1114	843	1342	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	444	779	992	363	551	670	5023	7240	6465	4674	4698	6702	3141	2494	811	2654	2505	1904	0.8%| k__Fungi; p__Ascomycota; p__Leotiomycetes; p__Helotiales; p__Myxotrichaceae; p__Oidiodendron; p__Unidentified_Oidiodendron	Oidiodendron	13	Pathotroph-Saprotroph-Symbiotroph	Endophyte-Ericoid Mycorrhizal-|Undefined Saprotroph|	Microfungus	NULL	Probable	As root_endophyte (Põlme et al. 2020); As soil_saprotroph (Põlme et al. 2020); Dark Septate Endophyte; Decay soil (Põlme et al. 2020)	b'Newsham KK. 2011. New Phytologist 190:783-793 ((https://doi.org/10.1111/j.1469-8137.2010.03611.x)) (as dark septate root endophytes); P\xc3\xb5lme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))'
753c4929a4d10b11978e12f0ac69b6a3	33	40	0	0	0	0	1654	137	480	139	358	837	1050	1038	1649	474	638	794	0	0	0	0	0	0	77	180	578	0	101	431	329	315	563	337	365	805	2283	161	311	1026	216	514	229	752	138	1529	841	801	1586	1596	1081	908	1196	517	455	204	0	0	0	81	0	0	0	0	0	0	194	222	194	140	145	186	232	703	77	202	520	375	3263	2393	2697	1855	918	477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	80	179	59	260	102	153	46	349	162	130	120	74	190	0	0	0	0	0	0	139	0	479	0	191	0	902	452	1446	1207	555	654	0	0	0	0	0	0	86	40	331	0	205	168	716	1534	1683	949	628	1278	0	0	0	0	0	26	0	0	0	0	104	76	321	315	362	381	207	356	0	0	0	0	0	0	162	0	168	0	131	96	668	1031	993	1001	229	187	0	0	0	0	0	0	102	40	53	0	55	84	145	108	118	302	0	135	0	0	102	78	93	0	561	233	405	446	2899	1920	944	2444	4101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	68	0	267	521	496	381	202	148	948	817	1476	1541	815	333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.909%| k__Fungi; p__Mortierellomycota; p__Mortierellomycetes; p__Mortierellales; p__Mortierellaceae; p__Mortierella; p__Unidentified_Mortierella	Mortierella	13	Saprotroph-Symbiotroph	Endophyte-Plant Saprotroph-|Undefined Saprotroph|	Microfungus	NULL	Probable	As chitinolytic (Põlme et al. 2020); As soil_saprotroph (Põlme et al. 2020); Decay roots, soil (Põlme et al. 2020); Saprobic in soil and thus frequenctly isolated from soil and material contaminated with soil such as hay or rotten silage and spoil tips (Cannon & Kirk 2007)	b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Purahong W, et al. 2016. Molecular Ecology 25:4059-4074 ((https://doi.org/10.1111/mec.13739)); P\xc3\xb5lme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))'
