OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
00041a6c3f5d956b1582dbc6ac90ac65	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Unidentified_Aspergillus
0006176f5351e48fe89e8e2e974935dd	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Unidentified_Pleosporales	Unidentified_Pleosporales	Unidentified_Pleosporales
00062b8e169a3f9d63ce48e779d18502	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Unidentified_Pseudeurotiaceae	Unidentified_Pseudeurotiaceae
0011464a4ff16e572200465d7cb10579	Fungi	Mucoromycota	Endogonomycetes	Endogonales	Endogonales_fam_Incertae_sedis	Densospora	Unidentified_Densospora
0032032472d9d5f72c228628dbeb8bec	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unidentified_Nectriaceae	Unidentified_Nectriaceae
003adc0ee299eb6e8b93c3971a2fd862	Fungi	Mucoromycota	Endogonomycetes	Endogonales	Endogonales_fam_Incertae_sedis	Densospora	Unidentified_Densospora
004b45eeaec78ec4e1f377146e3e22bc	Fungi	Mucoromycota	Endogonomycetes	Endogonales	Endogonales_fam_Incertae_sedis	Densospora	Unidentified_Densospora
005285be25f182382c5ca923401cad72	Fungi	Unidentified_Fungi	Unidentified_Fungi	Unidentified_Fungi	Unidentified_Fungi	Unidentified_Fungi	Unidentified_Fungi
0053e2de4cf93c71f506b3085c221cbf	Fungi	Mucoromycota	Endogonomycetes	Endogonales	Endogonales_fam_Incertae_sedis	Densospora	Unidentified_Densospora
0054addcedf128784003847423854899	Fungi	Mucoromycota	Endogonomycetes	Endogonales	Endogonales_fam_Incertae_sedis	Densospora	Unidentified_Densospora
00566b41cc96460b5b1128da7adfd753	Fungi	Mucoromycota	Endogonomycetes	Endogonales	Endogonales_fam_Incertae_sedis	Densospora	Unidentified_Densospora
0056cd67a4b23c63389c3478a3d87d60	Fungi	Mucoromycota	Endogonomycetes	Endogonales	Endogonales_fam_Incertae_sedis	Densospora	Unidentified_Densospora
005e6a4240e6deaf306ff188764aeb6b	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Unidentified_Fusarium
005e71728d721fcdf2a00d55eb90e484	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Unidentified_Sporormiaceae	Unidentified_Sporormiaceae
006366c4c753a9803d9149f6a70f3b95	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Unidentified_Pleosporales	Unidentified_Pleosporales	Unidentified_Pleosporales
006c6450dd47051a5a392803437d2b4b	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Unidentified_Helotiaceae	Unidentified_Helotiaceae
0077d91c36b5f979539dfcc8ef77347c	Fungi	Unidentified_Fungi	Unidentified_Fungi	Unidentified_Fungi	Unidentified_Fungi	Unidentified_Fungi	Unidentified_Fungi
0085f866d29715812b477d5693d527e2	Fungi	Unidentified_Fungi	Unidentified_Fungi	Unidentified_Fungi	Unidentified_Fungi	Unidentified_Fungi	Unidentified_Fungi
009dbefa6a90f6df657db78be3424233	Fungi	Mucoromycota	Endogonomycetes	Endogonales	Endogonales_fam_Incertae_sedis	Densospora	Unidentified_Densospora
009f716dcb68fd788ece2eb4703a2531	Fungi	Unidentified_Fungi	Unidentified_Fungi	Unidentified_Fungi	Unidentified_Fungi	Unidentified_Fungi	Unidentified_Fungi
00a37a0a50e60039ef0993e1f69a3868	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Meliniomyces	Unidentified_Meliniomyces
00ae15ca718d206b0170e0f1423ab5eb	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Barnettozyma	Barnettozyma_californica
00b1fb441b8219a2b64efd33f8b6a68f	Fungi	Mucoromycota	Endogonomycetes	Endogonales	Endogonales_fam_Incertae_sedis	Densospora	Unidentified_Densospora
00c231bd02712f1fa4dba3a2af675540	Fungi	Mucoromycota	Endogonomycetes	Endogonales	Endogonales_fam_Incertae_sedis	Densospora	Unidentified_Densospora
00d5c2bccb35b33858529c4e344adfbb	Fungi	Unidentified_Fungi	Unidentified_Fungi	Unidentified_Fungi	Unidentified_Fungi	Unidentified_Fungi	Unidentified_Fungi
00db634da27c03379f397d7d98826680	Fungi	Ascomycota	Leotiomycetes	Helotiales	Unidentified_Helotiales	Unidentified_Helotiales	Unidentified_Helotiales
00df01462d0f3d4307809aea05157fe7	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Unidentified_Ceratobasidiaceae	Unidentified_Ceratobasidiaceae
00dfb5679c774c257a62ac075cb8373e	Fungi	Unidentified_Fungi	Unidentified_Fungi	Unidentified_Fungi	Unidentified_Fungi	Unidentified_Fungi	Unidentified_Fungi
00e408ec777d66073e56430d9687fcf9	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
00e519a771045acb8927c0dd9e9da31b	Fungi	Mucoromycota	Endogonomycetes	Endogonales	Endogonales_fam_Incertae_sedis	Densospora	Unidentified_Densospora
00e943a2d4bae192bdda93223800f4f2	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Unidentified_Hypocreales	Unidentified_Hypocreales	Unidentified_Hypocreales
00eda006e28e7e59fe1ca869a6481c8b	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
00f7b2d74cdf87e4578d44c7ac7afc4e	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unidentified_Nectriaceae	Unidentified_Nectriaceae
